ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
1,Agency (Intentional Growth),Practice & Skill,"The capacity to make deliberate, values-aligned choices in relationships and sexuality, including learning, boundary-setting, and behavior change over time.","Agency supports healthier intimacy by shifting from “this just happens to me” to “I can choose my pace, communicate needs, and build skills.” It’s especially important in taboo-heavy contexts because it empowers respectful self-definition while maintaining consent and non-harm principles.",Choosing to pause when unsure instead of pushing through; Practicing clearer initiation and consent language; Seeking education or support to reduce shame and improve communication.,Relationship Dynamics & Intimacy,General,"Agency means total control over desire; If you have agency, you never struggle; Agency means ignoring culture or community; Agency replaces empathy and relational negotiation.",Non-Harm Principles; Consent Frameworks; Reflective Prompts; Guided Self-Understanding,agency; intentional-growth; self-efficacy; consent-skills; relationship-tools; empowerment
2,Aggregation & Coarsening,Data & Research Method,Privacy techniques that reduce detail by summarizing data (aggregation) or converting precise values into broader buckets (coarsening).,"These techniques lower re-identification risk while keeping analytic value, especially for geo reporting (country/region comparisons). Coarsening should be done thoughtfully to avoid distorting outcomes or hiding meaningful disparities; documentation helps users interpret results correctly.",Reporting age bands instead of exact age; Showing country-level results instead of neighborhood; Replacing exact timestamps with month or quarter.,"Data, Privacy & Measurement",General,Aggregation guarantees anonymity; Coarser data is always less biased; Coarsening makes the data useless; Aggregation means consent and governance are unnecessary.,Suppression of Rare Combinations; Re-Identification Risk; Normalized Dimension Values; Gates / Guardrails,aggregation; coarsening; privacy-techniques; geo-reporting; deidentification; data-minimization
3,Alignment Profiles,Product Artifact,"A structured snapshot showing how a person’s traits, needs, and preferences align with one or more relational or erotic patterns in a matching framework.","Alignment profiles are often generated from surveys or guided self-assessments and can help people see strengths, friction points, and negotiation areas. They are best used as conversation starters, not as labels or diagnoses. Good profiles include uncertainty, cultural context, and actionable suggestions rather than rigid scores.",A report highlights high match on communication style but mismatch on sexual frequency expectations; A couple uses a profile to discuss boundaries and turn-on cues; A profile suggests “try” options based on shared modalities.,Product & Assessment,General,An alignment profile is a medical diagnosis; A low score means the relationship cannot work; Profiles remove the need for communication; Profiles are universally accurate across cultures without adjustment.,Compatibility Engine; Deep Survey; Soft Survey; Validity; Reliability; Desire Discrepancy,alignment-profile; relationship-assessment; compatibility; survey-results; personalized-insights; cross-cultural
4,Anonymized Research Access,Product Artifact,Access to research data where identifying details are removed so analysis can be done while reducing privacy risk for individuals.,"In practice, “anonymized access” usually involves strong de-identification plus governance: data minimization, risk review, and rules for cross-border/EU-style privacy compliance (e.g., GDPR-aligned principles). Because true anonymity can be hard to guarantee, responsible programs pair technical controls with legal/ethical guardrails and ongoing monitoring.",Researchers use a de-identified dataset to study relationship wellbeing trends; A platform shares aggregated survey outcomes with a university partner; A research portal only exposes anonymized outputs and blocks raw exports.,"Data, Privacy & Measurement",General,"Anonymized means “zero risk”; Anonymized equals pseudonymized; Once anonymized, data can be shared freely anywhere; Anonymization removes the need for consent and governance.",Re-Identification Risk; Controlled Research Environments; Tiered Access Approach; Aggregation & Coarsening; Gates / Guardrails,anonymized-research; deidentification; privacy-by-design; gdpr-aligned; research-access; global-data
5,Archaic Algorithms,Framework & Model,"A metaphor for older, evolution-shaped patterns in attention, attraction, and threat detection that still influence modern desire and relationship behavior.","“Archaic algorithms” refers to fast, automatic mental shortcuts—like novelty-seeking, status sensitivity, or danger scanning—that once helped survival but can misfire in today’s social and digital environments. In sexuality, these shortcuts can amplify comparison, performance pressure, or impulsive cue-reactivity. The goal is awareness and choice, not blaming biology.",Feeling pulled toward novelty even while valuing commitment; Interpreting a partner’s neutral tone as rejection and losing arousal; Becoming more aroused by “forbidden” contexts because they feel high-stakes.,Desire & Arousal,General,Archaic algorithms mean you can’t control your behavior; They justify jealousy or coercion; Everyone’s algorithms are the same; Modern culture has no effect on desire.,Evolutionary Mismatch; Arousal Accelerator; Arousal Brake; Sexual Script; Desire Cues,archaic-algorithms; evolutionary-psychology; desire-patterns; novelty-seeking; threat-detection; sexual-context
6,Archetypal Alignment,Pattern & Dynamic,"The degree to which a person’s attraction and desire feel “in sync” with recurring symbolic themes (archetypes) they find compelling, such as protector, rebel, nurturer, or explorer.","Archetypal alignment is a way to talk about the stories and roles that make attraction feel meaningful. It can help couples understand why certain dynamics are exciting and others feel flat, without reducing attraction to looks alone. Archetypes are culturally shaped, so the same theme may be expressed differently across regions and media traditions.",Someone is most attracted to confident leadership energy and feels bored without it; A person finds tenderness and caretaking deeply erotic; Partners negotiate playful role dynamics that match shared fantasies.,Identity & Attraction,Sensitive,"Archetypes prove there is one “true” partner for you; Alignment is fixed and cannot evolve; Archetypal talk is the same as gender stereotypes; If alignment is low, the relationship has no chance.",Fantasy; Desire Cues; Kink Curiosity; Sexual Signature; Relationship Form Preference,archetypal-alignment; attraction-patterns; erotic-archetypes; relationship-chemistry; desire; cultural-stories
7,Archetypal Probabilities,Data & Research Method,"A way of thinking about attraction as likelihoods: certain archetypal themes and dynamics are more or less probable to feel erotic for a given person based on history, culture, and temperament.","This term is useful for exploration: instead of treating preferences as mysterious, people can test hypotheses about what themes reliably increase arousal or emotional connection. It also avoids rigid labels by emphasizing probabilities rather than certainties. Because media and culture influence archetypes, it encourages checking whether a preference is personally authentic or socially inherited.",Noticing you’re more likely to feel desire when there’s playful challenge than when everything is predictable; Experimenting with different initiation styles to see what themes land; Realizing a “type” changes after major life experiences.,Identity & Attraction,General,"Probabilities guarantee outcomes; If you know the archetype, you can manipulate someone; Preferences can be predicted without consent and communication; Archetypal probabilities are scientifically exact measurements.",Archetypal Alignment; Desire Cues; Arousal Map; Sexual Signature; Neural Plasticity,archetypal-probabilities; attraction-likelihood; erotic-themes; self-discovery; dating-insights; desire-cues
8,Archetype Probability Distribution,Metric & Measurement,"A probability-based output that shows how strongly a person’s profile matches multiple archetypes, expressed as a distribution across options.","A distribution can be peaked (one clear match) or broad (several plausible matches). Showing a distribution can reduce over-labeling by making ambiguity visible. For geo/cross-cultural use, it helps to include plain-language explanations so probabilities don’t get misread as identity categories.","A user sees 55% Explorer, 30% Connector, 15% Stabilizer; Two archetypes are close, prompting reflection rather than a single label; Distribution shifts after new survey answers or life changes.",Product & Assessment,General,The top archetype is your permanent identity; Lower probabilities don’t matter; A broad distribution means the assessment failed; Probabilities can replace conversation and self-reflection.,Softmax Normalization; Distribution “Sharpness”; Archetype Prototype Profile; Interpretive Depth; Alignment Profiles,archetype-probabilities; probability-distribution; assessment-results; matching; self-discovery; global-interpretation
9,Archetype Probability Distributions (Full Signature),Metric & Measurement,"A full probability profile showing how strongly a person matches each archetype, represented as a distribution rather than a single label.","Full signatures help prevent over-labeling by showing nuance (e.g., two close matches). They’re especially useful in multicultural settings because they allow “both/and” interpretations and can be paired with plain-language explanations, uncertainty notes, and guardrails to avoid identity-like claims.",A user sees probabilities across 8 archetypes rather than one winner; A report highlights top 3 archetypes plus “close alternatives”; The distribution is tracked over time to reflect change.,Product & Assessment,General,The top archetype is your fixed identity; The distribution is a diagnosis; Lower probabilities are irrelevant; More archetypes always means more truth.,Archetype Probability Distribution; Softmax Normalization; Distribution “Sharpness”; Interpretive Depth,archetype-signature; probability-profile; full-distribution; assessment-results; explainability; global-insights
10,Archetype Prototype Profile,Product Artifact,"A reference profile that represents an archetype’s typical dimension pattern, used as a comparison target in matching or interpretation.","Prototype profiles can be created from theory, expert design, or aggregated user data, and they should be reviewed for bias and cultural fit. They help people understand “which pattern you resemble most” without forcing a single label. Good products also show confidence levels and alternative close matches.",A “nurturer” prototype emphasizes bonding and reassurance; A “explorer” prototype emphasizes novelty and curiosity; Users see which prototype they most closely match plus a second-best alternative.,Product & Assessment,General,"Prototypes are stereotypes and always harmful; Matching to a prototype fixes your identity permanently; Prototypes are universal across all cultures; If you don’t match a prototype, the test failed.",Archetype Probability Distribution; Similarity-Based Scoring; Alignment Profiles; Bias; Validity,archetype-prototype; reference-profile; matching-framework; personality-patterns; assessment-design; cultural-fit
