ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
1,Affection Gap,Pattern & Dynamic,Affection Gap refers to a mismatch between how much affection one person expects or prefers and how much is expressed or perceived within a relationship.,"Affection Gap describes a relational mismatch rather than a lack of care or commitment. It is closely related to Emotional Intimacy and Communication Patterns in Relationships, as differences often emerge from how affection is expressed, interpreted, or prioritized. Within a relationship assessment platform, an affection gap is identified by comparing expressed behaviors with perceived emotional needs over time. The concept helps explain compatibility dynamics by separating intent from experience in affectionate exchanges.",One partner prefers frequent physical affection while the other expresses care verbally; A relationship report highlights unequal satisfaction with day-to-day affection; Partners describe feeling loved but not always shown affection in expected ways,Relationship Dynamics & Intimacy,General,An affection gap means one partner cares less; An affection gap indicates emotional incompatibility; An affection gap cannot be addressed or understood,Emotional Intimacy; Communication Patterns; Love Languages; Attachment Style,affection-gap; emotional-intimacy; relationship-insights; communication-patterns; compatibility-dynamics; self-awareness
2,Affection Preferences,Need & Preference,"Affection Preferences refer to the ways individuals differ in how they like affection to be expressed, received, and interpreted within a relationship.","Affection Preferences describe patterns in how care, warmth, and closeness are communicated rather than how much affection exists. They are closely related to Affection Gap and Emotional Intimacy, as mismatches often arise between intent and perception. Within a relationship assessment platform, affection preferences are identified through communication patterns in relationships and reported emotional responses. The concept helps clarify compatibility dynamics by separating expression style from emotional commitment.",One partner values verbal affirmation while the other prefers physical closeness; A relationship report highlights differing satisfaction with everyday expressions of affection; Affection feels present but is expressed in unexpected ways,Relationship Dynamics & Intimacy,General,Affection preferences indicate how much someone cares; Affection preferences should naturally align in healthy relationships; Affection preferences are fixed and unchangeable,Affection Gap; Emotional Intimacy; Communication Patterns; Touch Preferences,affection-preferences; emotional-intimacy; relationship-insights; communication-patterns; compatibility-dynamics; self-awareness
3,Aftercare,Practice & Skill,"Actions people take after an intimate or emotionally intense experience to feel safe, calm, and supported.","Aftercare refers to the ways people support one another emotionally, physically, or verbally after an intimate or emotionally intense experience. What counts as aftercare varies widely between individuals and situations, so it’s best discussed explicitly rather than assumed or standardized.",Cuddling or sitting quietly together after sex; checking in with a partner later to ask how they feel; taking time alone to ground yourself after an intense moment.,Consent & Boundaries,Sensitive,Aftercare is only for BDSM; needing aftercare means the experience was negative; confident or independent people don’t need aftercare.,Boundaries; Emotional Safety; Consent; Intimacy,care; post-intimacy; connection; safety
4,Anonymization,Data & Research Method,A way of handling data so it can no longer be connected to a specific person.,"Anonymization involves altering or removing identifying data so individuals can no longer be identified, either directly or indirectly. When done properly, anonymized data cannot be reversed or traced back to a specific person, which distinguishes it from methods that merely obscure identity.",Removing contact details from survey responses; combining answers so individual patterns cannot be singled out.,"Data, Privacy & Measurement",General,Anonymized data can always be traced back later; anonymization and pseudonymization are the same thing.,Pseudonymization; Ethics; Privacy,privacy; data-protection; trust; research
5,Arousal,State & Experience,"Physical and mental signs of sexual activation that are biologically driven and do not necessarily reflect desire, attraction, or consent.","Arousal is a physiological and psychological response that can happen automatically and does not necessarily reflect desire, attraction, or willingness. Because arousal can be influenced by context, stress, or biology, it should never be treated as evidence of consent or intent.",Experiencing physical arousal without wanting sex; feeling mentally interested but not physically aroused; arousal triggered by stress or novelty rather than attraction.,Desire & Arousal,Sensitive,"If I am aroused, I must want sex; arousal always means attraction; lack of arousal means lack of interest.",Desire; Consent; Libido; Responsive Desire; Spontaneous Desire,body-response; desire; consent; sexuality
6,Arousal Accelerator,Signal & Cue,"Arousal Accelerator refers to internal or external factors that increase, intensify, or support sexual or intimate arousal in certain contexts.","Arousal Accelerator describes conditions that facilitate arousal rather than initiate desire on their own. It is closely related to Desire Trigger and Responsive Arousal, as emotional connection, safety, or stimulation can amplify arousal once engagement begins. Within a relationship assessment platform, arousal accelerators are identified through recurring contexts where arousal reliably increases. The concept helps explain compatibility dynamics by distinguishing supportive conditions from baseline desire levels.",Arousal increases during emotionally affirming conversations; Feeling relaxed and unpressured amplifies physical responsiveness; A relationship report highlights emotional closeness as a consistent arousal accelerator,Desire & Arousal,Sensitive,Arousal accelerators mean constant readiness for sex; Arousal accelerators indicate higher libido; Absence of arousal accelerators means lack of attraction,Desire Trigger; Responsive Arousal; Arousal Brake; Sexual Desire,arousal-accelerator; sexual-desire; emotional-intimacy; arousal-patterns; relationship-dynamics; compatibility-dynamics; self-awareness
7,Arousal Brake,Signal & Cue,"Arousal Brake refers to internal or external factors that slow down, inhibit, or interrupt sexual or intimate arousal in certain contexts.","Arousal Brake describes conditions that reduce arousal even when desire or attraction may be present. It is closely related to Desire Inhibition and Emotional Safety, as stress, pressure, or lack of safety can activate inhibitory responses. Within a relationship assessment platform, arousal brakes are identified through patterns where arousal consistently decreases under specific emotional or situational conditions. The concept helps explain compatibility dynamics by distinguishing inhibition from lack of interest or desire.",Arousal decreases during periods of unresolved conflict; Performance pressure interrupts physical responsiveness; A relationship report highlights stress as a recurring arousal brake,Desire & Arousal,Sensitive,Arousal brakes mean no sexual attraction; Arousal brakes indicate personal failure; Arousal brakes are permanent and unchangeable,Desire Inhibition; Emotional Safety; Responsive Arousal; Sexual Desire,arousal-brake; sexual-desire; emotional-safety; arousal-patterns; relationship-dynamics; compatibility-dynamics; self-awareness
8,Arousal Map,Framework & Model,"Arousal Map refers to a structured representation of the emotional, relational, and situational factors that influence how sexual or intimate arousal emerges for a person","Arousal Map describes how different conditions interact to support or inhibit arousal across contexts. It integrates elements such as Arousal Brake, Arousal Accelerator, and Emotional Intimacy to show patterns rather than single triggers. Within a relationship assessment platform, an arousal map is inferred from recurring responses to stress, connection, and stimulation. The concept helps explain compatibility dynamics by visualizing when arousal is most accessible and when it is constrained.","A relationship report visualizes stress as an inhibitor and emotional closeness as a facilitator of arousal; Patterns show arousal emerging mainly during relaxed, connected moments; An assessment highlights different arousal maps between partners",Desire & Arousal,Sensitive,An arousal map determines overall sexual desire; An arousal map is fixed and unchangeable; An arousal map predicts relationship success,Arousal Window; Arousal Brake; Arousal Accelerator; Responsive Arousal,arousal-map; sexual-desire; arousal-patterns; emotional-context; compatibility-dynamics; relationship-insights; self-awareness
9,Arousal Window,Framework & Model,"Arousal Window refers to the range of emotional, mental, and physical conditions in which sexual or intimate arousal is most accessible for a person.","Arousal Window describes when arousal is most likely to emerge rather than how strong desire is overall. It is closely related to Arousal Brake and Arousal Accelerator, as both influence whether conditions fall inside or outside this window. Within a relationship assessment platform, the arousal window is identified by patterns showing optimal timing, emotional state, and context for arousal. The concept helps explain compatibility dynamics by clarifying why arousal may feel available in some situations and blocked in others.","Arousal is more accessible during relaxed, emotionally connected moments; Stress narrows the arousal window despite underlying attraction; A relationship report highlights different arousal windows between partners",Desire & Arousal,Sensitive,Arousal window reflects overall sexual desire; Arousal window is fixed and unchangeable; Arousal window determines relationship compatibility,Arousal Brake; Arousal Accelerator; Responsive Arousal; Sexual Desire,arousal-window; sexual-desire; arousal-patterns; emotional-context; compatibility-dynamics; relationship-insights; self-awareness
10,Asexuality,Identity & Orientation,A sexual orientation describing people who experience little or no sexual attraction to others.,"Asexuality is a sexual orientation characterized by little or no sexual attraction, but it does not determine someone’s capacity for relationships, intimacy, or emotional closeness. Asexual people may still value romance, partnership, or physical affection in ways that are meaningful to them.",Feeling close to people emotionally but not sexually; enjoying intimacy without sexual attraction; identifying as gray-asexual or demisexual.,Identity & Attraction,Sensitive,Asexual people don’t want relationships; asexuality is caused by trauma or hormones; asexuality means no intimacy at all.,Orientation; Libido; Desire; Intimacy,orientation; spectrum; identity; attraction
