ID,Term,Definition,Extended Notes,Type,Examples,Domain,Sensitivity Level,Misinterpretations,Reality,Related Terms,Tags
1,Abandonment Insecurity,"A fear of being left, replaced, or emotionally abandoned, which can intensify reassurance needs and sensitivity to distance.","This insecurity can amplify reactions to slow replies, reduced sex, or ambiguous signals. Healthy support includes explicit agreements, consistent connection rituals, and learning self-regulation strategies—without using guilt or pressure to force closeness.",Trait & Disposition,Panicking when a partner seems distant; Interpreting “not tonight” as rejection; Seeking frequent proof of commitment or desire.,Emotional & Attachment Patterns,Highly Sensitive,"Abandonment insecurity equals manipulation; The partner must provide unlimited reassurance; Jealousy proves love; If someone is anxious, boundaries don’t matter.","Abandonment Insecurity isn’t manipulation. It describes a fear of being left replaced or emotionally abandoned.; Support helps, but it isn’t unlimited. Healthy care includes boundaries.; Jealousy isn’t proof of love. It often signals fear or insecurity.; Boundaries still apply. This doesn’t remove limits.",Core Insecurities; Validation; Anxious Attachment; Situationship,rejection-sensitivity; relationship-security; anxious-attachment; reassurance-needs; emotional-attachment-patterns; trait-disposition
2,Active / Direct Initiation,"An initiation subtype where someone starts intimacy through clear, explicit invitations and straightforward consent language.",Direct initiation can reduce confusion and is especially helpful when partners have different cultural scripts. The growth edge is softness: direct asks work best when they include easy “no” pathways (“totally okay if not”).,Pattern & Dynamic,“Do you want to have sex tonight?”; “Can I kiss you?”; “I’d love intimacy—what feels good for you?”,Sexual Communication & Initiation,General,"Direct equals aggressive; Direct people don’t need emotional context; A direct ask is pressure; If you ask, it can’t be sexy.",Direct can still be kind. Aggression is different from clarity.; That’s not always true. Think of it as an initiation subtype where someone starts intimacy through clear explicit invitations.; Asking isn’t pressure. Consent and pacing still guide.; That’s not always true. It describes an initiation subtype where someone starts intimacy through clear explicit invitations.,Initiation Style; Consent Frameworks; Signal Mismatch,couples-communication; explicit-consent; sexual-communication-initiation; pattern-dynamic
3,Actual Pleasure,"A signal describing the lived quality of pleasure during real intimacy—physical comfort, enjoyment, emotional connection, and satisfaction in the moment.","Actual pleasure can be affected by pain, stress, shame scripts, mismatched pacing, or communication gaps. It’s useful because it points to actionable improvements (slowing down, changing context, better consent check-ins) rather than chasing abstract “scores.” Reports should encourage medical support for persistent pain or dysfunction.",Metric & Measurement,Enjoyment increases with slower pacing; Pleasure drops when anxious or rushed; Satisfaction improves with aftercare and emotional safety.,Pleasure & Sexual Wellbeing,Sensitive,"Pleasure should always be effortless; If pleasure is low, the relationship is doomed; Pleasure equals orgasm only; Pleasure problems are purely psychological.","It can change. Timing matters.; If pleasure is low, the relationship isn’t always doomed.; It isn’t orgasm only. It describes a signal describing the lived quality of pleasure during real intimacy physical.; It depends. It describes a signal describing the lived quality of pleasure during real intimacy physical.",Presence vs Performance; Optimal Sexual States; Aftercare; Arousal Brake,pleasure-skills; sexual-satisfaction; intimacy-quality; comfort; pleasure-sexual-wellbeing; metric-measurement
4,Adrenaline,A hormone (epinephrine) linked to activation and excitement that can sometimes amplify arousal—but can also increase anxiety depending on context.,"Adrenaline can feel like “spark” in flirting or novelty, but if the nervous system reads a situation as unsafe, the same activation can become anxiety and shut down desire. Reporting should emphasize consent and safety: excitement works best when it’s chosen and contained.",Data & Research Method,Feeling turned on by thrill and anticipation; Novelty makes arousal spike; Activation turns into anxiety when pressure or fear is present.,Desire & Arousal,General,"Adrenaline is required for good sex; Thrill equals love; If you don’t feel excited, you’re incompatible; Adrenaline excuses risky behavior.",Adrenaline isn’t always required for good sex. It describes a hormone linked to activation and excitement.; It isn’t love. Think of it as a hormone linked to activation and excitement.; Difference isn’t automatic incompatibility. Many gaps improve with communication.; It depends. Think of it as a hormone linked to activation and excitement.,Novelty; Flow States; Arousal Accelerator; Arousal Brake; Biochemical Reward System Dynamics,arousal; desire-arousal; data-research-method
5,Affection Gap,Affection Gap refers to a mismatch between how much affection one person expects or prefers and how much is expressed or perceived within a relationship.,"Affection Gap describes a relational mismatch rather than a lack of care or commitment. It is closely related to Emotional Intimacy and Communication Patterns in Relationships, as differences often emerge from how affection is expressed, interpreted, or prioritized. Within a relationship assessment platform, an affection gap is identified by comparing expressed behaviors with perceived emotional needs over time. The concept helps explain compatibility dynamics by separating intent from experience in affectionate exchanges.",Pattern & Dynamic,One partner prefers frequent physical affection while the other expresses care verbally; A relationship report highlights unequal satisfaction with day-to-day affection; Partners describe feeling loved but not always shown affection in expected ways,Relationship Dynamics & Intimacy,General,An affection gap means one partner cares less; An affection gap indicates emotional incompatibility; An affection gap cannot be addressed or understood,Affection Gap doesn’t mean one partner cares less.; It depends. It’s about a mismatch between how much affection one person expects or prefers.; That’s not always true. It describes a mismatch between how much affection one person expects or prefers.,Emotional Intimacy; Communication Patterns; Love Language; Attachment Style,self-awareness; compatibility-dynamics; relationship-insights; emotional-intimacy; relationship-dynamics-intimacy; pattern-dynamic
6,Affection Preferences,"Affection Preferences refer to the ways individuals differ in how they like affection to be expressed, received, and interpreted within a relationship.","Affection Preferences describe patterns in how care, warmth, and closeness are communicated rather than how much affection exists. They are closely related to Affection Gap and Emotional Intimacy, as mismatches often arise between intent and perception. Within a relationship assessment platform, affection preferences are identified through communication patterns in relationships and reported emotional responses. The concept helps clarify compatibility dynamics by separating expression style from emotional commitment.",Need & Preference,One partner values verbal affirmation while the other prefers physical closeness; A relationship report highlights differing satisfaction with everyday expressions of affection; Affection feels present but is expressed in unexpected ways,Relationship Dynamics & Intimacy,General,Affection preferences indicate how much someone cares; Affection preferences should naturally align in healthy relationships; Affection preferences are fixed and unchangeable,Not necessarily. It describes the ways individuals differ in how they like affection to be expressed.; It depends. It describes the ways individuals differ in how they like affection to be expressed.; It depends. Think of it as the ways individuals differ in how they like affection to be expressed.,Affection Gap; Emotional Intimacy; Communication Patterns; Touch Preferences,self-awareness; compatibility-dynamics; relationship-insights; emotional-intimacy; relationship-dynamics-intimacy; need-preference
7,Aftercare,"Actions people take after an intimate or emotionally intense experience to feel safe, calm, and supported.","Aftercare refers to the ways people support one another emotionally, physically, or verbally after an intimate or emotionally intense experience. What counts as aftercare varies widely between individuals and situations, so it’s best discussed explicitly rather than assumed or standardized.",Practice & Skill,Cuddling or sitting quietly together after sex; checking in with a partner later to ask how they feel; taking time alone to ground yourself after an intense moment.,Consent & Boundaries,Sensitive,Aftercare is only for BDSM; needing aftercare means the experience was negative; confident or independent people don’t need aftercare.,It isn’t only for one context. It can help in many situations.; It doesn’t mean the experience was negative. It’s about actions people take after an intimate or emotionally intense experience.; That’s not always true. It’s about actions people take after an intimate or emotionally intense experience.,Boundaries; Emotional Safety; Consent; Intimacy,connection; safety; consent-boundaries; practice-skill
8,Aftercare Dependency,"A pattern where emotional safety and satisfaction depend strongly on aftercare (reassurance, cuddling, debriefing) following intimacy—especially after intense or vulnerable experiences.","Needing aftercare is normal; calling it “dependency” in reports should be handled gently to avoid shame. The goal is clarity: what aftercare helps someone feel safe, and how to negotiate it as a shared ritual. This is especially relevant in exploration/power-play contexts and for people with abandonment or trust insecurities.",Pattern & Dynamic,Needs cuddling and reassurance after sex; Feels anxious if partners separate immediately; Requires a short debrief after intense play to feel settled.,Emotional & Attachment Patterns,Sensitive,"Aftercare is childish; If you need aftercare, you’re insecure; Aftercare guarantees consent for future intimacy; If aftercare is requested, the partner must comply indefinitely.",Needing support isn’t childish. Many adults benefit from it.; That’s not always true. Think of it as a pattern where emotional safety and satisfaction depend strongly on aftercare following.; Comfort and consent lead. Everything else follows.; That’s not always true. Think of it as a pattern where emotional safety and satisfaction depend strongly on aftercare following.,Aftercare; Being Safe; Abandonment Insecurity; Power Exchange,emotional-safety; reassurance; relationship-security; emotional-attachment-patterns; pattern-dynamic
9,Agency (Intentional Growth),"The capacity to make deliberate, values-aligned choices in relationships and sexuality, including learning, boundary-setting, and behavior change over time.","Agency supports healthier intimacy by shifting from “this just happens to me” to “I can choose my pace, communicate needs, and build skills.” It’s especially important in taboo-heavy contexts because it empowers respectful self-definition while maintaining consent and non-harm principles.",Practice & Skill,Choosing to pause when unsure instead of pushing through; Practicing clearer initiation and consent language; Seeking education or support to reduce shame and improve communication.,Relationship Dynamics & Intimacy,General,"Agency means total control over desire; If you have agency, you never struggle; Agency means ignoring culture or community; Agency replaces empathy and relational negotiation.",Agency (Intentional Growth) isn’t a control tactic.; It can change. Timing matters.; It doesn’t mean ignoring culture or community.; It depends. Think of it as the capacity to make deliberate values-aligned choices in relationships and sexuality including.,Non-Harm Principles; Consent Frameworks; Reflective Prompts; Guided Self-Understanding,consent-skills; relationship-dynamics-intimacy; practice-skill
10,Anonymized Research Access,Access to research data where identifying details are removed so analysis can be done while reducing privacy risk for individuals.,"In practice, “anonymized access” usually involves strong de-identification plus governance: data minimization, risk review, and rules for cross-border/EU-style privacy compliance (e.g., GDPR-aligned principles). Because true anonymity can be hard to guarantee, responsible programs pair technical controls with legal/ethical guardrails and ongoing monitoring.",Product Artifact,Researchers use a de-identified dataset to study relationship wellbeing trends; A platform shares aggregated survey outcomes with a university partner; A research portal only exposes anonymized outputs and blocks raw exports.,"Data, Privacy & Measurement",General,"Anonymized means “zero risk”; Anonymized equals pseudonymized; Once anonymized, data can be shared freely anywhere; Anonymization removes the need for consent and governance.",Anonymized Research Access doesn’t mean “zero risk”.; It isn’t pseudonymized. It’s about access to research data where identifying details are removed so analysis.; Not necessarily. It’s about access to research data where identifying details are removed so analysis.; Consent comes first. Nothing overrides it.,Re-Identification Risk; Controlled Research Environments; Tiered Access Approach; Aggregation & Coarsening; Gates / Guardrails,privacy-by-design; data-privacy-measurement; product-artifact
