ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
1,Abandonment Insecurity,Trait & Disposition,"A fear of being left, replaced, or emotionally abandoned, which can intensify reassurance needs and sensitivity to distance.","This insecurity can amplify reactions to slow replies, reduced sex, or ambiguous signals. Healthy support includes explicit agreements, consistent connection rituals, and learning self-regulation strategies—without using guilt or pressure to force closeness.",Panicking when a partner seems distant; Interpreting “not tonight” as rejection; Seeking frequent proof of commitment or desire.,Emotional & Attachment Patterns,Highly Sensitive,"Abandonment insecurity equals manipulation; The partner must provide unlimited reassurance; Jealousy proves love; If someone is anxious, boundaries don’t matter.",Core Insecurities; Validation; Anxious Attachment; Situationship,abandonment-fear; reassurance-needs; anxious-attachment; rejection-sensitivity; relationship-security
2,Active / Direct Initiation,Pattern & Dynamic,"An initiation subtype where someone starts intimacy through clear, explicit invitations and straightforward consent language.",Direct initiation can reduce confusion and is especially helpful when partners have different cultural scripts. The growth edge is softness: direct asks work best when they include easy “no” pathways (“totally okay if not”).,“Do you want to have sex tonight?”; “Can I kiss you?”; “I’d love intimacy—what feels good for you?”,Sexual Communication & Initiation,General,"Direct equals aggressive; Direct people don’t need emotional context; A direct ask is pressure; If you ask, it can’t be sexy.",Initiation Style; Consent Frameworks; Signal Mismatch,direct-initiation; explicit-consent; clear-asks; initiation-skills; couples-communication
3,Actual Pleasure,Metric & Measurement,"A report signal describing the lived quality of pleasure during real intimacy—physical comfort, enjoyment, emotional connection, and satisfaction in the moment.","Actual pleasure can be affected by pain, stress, shame scripts, mismatched pacing, or communication gaps. It’s useful because it points to actionable improvements (slowing down, changing context, better consent check-ins) rather than chasing abstract “scores.” Reports should encourage medical support for persistent pain or dysfunction.",Enjoyment increases with slower pacing; Pleasure drops when anxious or rushed; Satisfaction improves with aftercare and emotional safety.,Pleasure & Sexual Wellbeing,Sensitive,"Pleasure should always be effortless; If pleasure is low, the relationship is doomed; Pleasure equals orgasm only; Pleasure problems are purely psychological.",Presence vs Performance; Optimal Sexual States; Aftercare; Arousal Brake,actual-pleasure; sexual-satisfaction; comfort; intimacy-quality; pleasure-skills
4,Adrenaline,Data & Research Method,A hormone (epinephrine) linked to activation and excitement that can sometimes amplify arousal—but can also increase anxiety depending on context.,"Adrenaline can feel like “spark” in flirting or novelty, but if the nervous system reads a situation as unsafe, the same activation can become anxiety and shut down desire. Reporting should emphasize consent and safety: excitement works best when it’s chosen and contained.",Feeling turned on by thrill and anticipation; Novelty makes arousal spike; Activation turns into anxiety when pressure or fear is present.,Desire & Arousal,General,"Adrenaline is required for good sex; Thrill equals love; If you don’t feel excited, you’re incompatible; Adrenaline excuses risky behavior.",Novelty; Flow States; Arousal Accelerator; Arousal Brake; Biochemical Reward System Dynamics,adrenaline; excitement; thrill; nervous-system-activation; arousal
5,Aftercare Dependency,Pattern & Dynamic,"A pattern where emotional safety and satisfaction depend strongly on aftercare (reassurance, cuddling, debriefing) following intimacy—especially after intense or vulnerable experiences.","Needing aftercare is normal; calling it “dependency” in reports should be handled gently to avoid shame. The goal is clarity: what aftercare helps someone feel safe, and how to negotiate it as a shared ritual. This is especially relevant in exploration/power-play contexts and for people with abandonment or trust insecurities.",Needs cuddling and reassurance after sex; Feels anxious if partners separate immediately; Requires a short debrief after intense play to feel settled.,Emotional & Attachment Patterns,Sensitive,"Aftercare is childish; If you need aftercare, you’re insecure; Aftercare guarantees consent for future intimacy; If aftercare is requested, the partner must comply indefinitely.",Aftercare; Being Safe; Abandonment Insecurity; Power Exchange,aftercare-needs; post-sex-care; reassurance; emotional-safety; kink-aftercare; relationship-security
6,Anxious Attachment,Trait & Disposition,"A report pattern marked by higher sensitivity to rejection and stronger reassurance needs, which can impact desire, initiation, and conflict cycles.","This pattern can intensify validation needs and performance anxiety, especially when communication is ambiguous. Support focuses on clear agreements, consistent reassurance, and self-regulation skills—without using pressure or guilt to secure closeness.",Increased worry after a slow text reply; Seeking reassurance before intimacy feels safe; Pursue-withdraw cycles around closeness.,Emotional & Attachment Patterns,Sensitive,Anxious means needy or manipulative; Anxiety guarantees relationship failure; The partner must provide unlimited reassurance; Anxious attachment excuses boundary violations.,Core Insecurities; Validation; Relational Loops; Consent Frameworks,anxious-attachment; reassurance-needs; rejection-sensitivity; relationship-anxiety; closeness
7,Arousal Breaks,Framework & Model,"Report shorthand for factors that inhibit arousal (often called “arousal brakes”), reducing responsiveness, pleasure, or desire in the moment.","Arousal breaks/brakes can be internal (anxiety, shame, fatigue) or external (lack of privacy, pressure, conflict). This concept helps users troubleshoot without blame: the goal is to reduce inhibition and increase safety/presence, not to force outcomes. In sensitive contexts, pair this with consent frameworks and non-harm language.",Stress makes arousal hard even with attraction; Pressure to perform shuts down desire; Low privacy blocks arousal; Negative self-talk interrupts pleasure.,Desire & Arousal,Sensitive,"If you have brakes, you’re broken; Brakes prove incompatibility; Brakes can be overridden by persistence; Brakes don’t matter in committed relationships.",Arousal Brake; Turn-Offs; Cortisol; Presence vs Performance; State Optimization,arousal-brakes; arousal-breaks; sexual-inhibition; libido-blockers; stress-and-desire; couples-tools
8,Arousal Curve,Metric & Measurement,"A simplified shape of how arousal typically rises and falls over time for a person, including warm-up, peak, and recovery phases.","Arousal curves help people communicate what “too fast” or “too slow” feels like. Curves can change with stress, health, relationship safety, and life stage. Reports should encourage curiosity and experimentation without turning the curve into a rigid rule, and reinforce consent at each phase.",Gradual build with a long plateau; Quick rise and fast drop if interrupted; Multiple waves rather than one peak; Needing recovery time after high intensity.,Desire & Arousal,General,"Arousal should look the same for everyone; One curve is the only healthy curve; If your curve changes, attraction is gone; The curve predicts consent.",Pacing & Arousal Curve; Spike-Based Arousal; Wave-Based Arousal; State Optimization,arousal-curve; sexual-response; arousal-pattern; libido-shape; intimacy-science; couples-communication
9,Arousal Non-Concordance,Pattern & Dynamic,"A common mismatch where genital response and subjective (felt) arousal do not align (the body reacts without desire, or desire exists without strong genital response).","Non-concordance is normal and especially important for consent clarity: genital response is not the same as wanting, agreeing, or feeling safe. Stress, medication, trauma history, context, and meaning can all affect alignment. Reports should use non-shaming language and encourage explicit check-ins rather than assumptions.",Lubrication/erection without feeling turned on; Feeling mentally aroused while the body is slow to respond; Genital response fades when anxiety rises even with attraction present.,Consent & Boundaries,Highly Sensitive,"If the body responds, consent is automatic; Non-concordance means you’re broken; It only happens after trauma; Mismatch proves you don’t like your partner.",Genital; Subjective; Consent Frameworks; Presence vs Performance,arousal-nonconcordance; mind-body-mismatch; consent-clarity; genital-response; sexual-safety
10,Arousal Style,Metric & Measurement,"A report dimension describing how sexual arousal typically starts, builds, and stays present for a person across contexts.","Arousal style includes pacing, preferred initiation, and sensitivity to accelerators (turn-ons) and brakes (turn-offs). It often shifts with stress, health, and relationship safety, so reports should frame it as a pattern—not a fixed identity. Knowing arousal style helps partners reduce guesswork and create better conditions for consent and pleasure.",Needs slow build-up and emotional connection; Arousal spikes with novelty but drops when rushed; Prefers touch-first initiation with privacy and time.,Desire & Arousal,Sensitive,"Arousal style is the same as sexual orientation; If arousal style differs, you’re incompatible; Arousal style never changes; If the body reacts, consent is automatic.",Body-First Arousal; Presence vs Performance; Cortisol; Novelty; Consent Frameworks,arousal-style; libido-pattern; turn-ons; turn-offs; sexual-response; relationship-compatibility
